Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Startup House,Product Design,The full-service digital product company,4.9,23 REVIEWS,Yes,"$10,000+",$50 - $99 / hr,50 - 249,"Warszawa, Poland","Product Design,Custom Software Development,UX/UI Design,Business Consulting,IT Strategy Consulting,Web Development","35,20,15,10,10,10",“Their strength is their ability to understand our strategy as a business so they can anticipate our needs.”,https://start-up.house/?utm_source=clutch&utm_medium=referral&utm_campaign=Top+Product+Design+and+Development+Companies,https://clutch.co/profile/startup-house
Stoke Ventures,Product Design,Physical Product & Mobile App Development,5.0,11 REVIEWS,Yes,"$5,000+",$100 - $149 / hr,2 - 9,"Raleigh, NC","Product Design,Contract Manufacturing,Mobile App Development,Web Development","25,25,25,25","""Stoke Ventures' expertise in web and mobile app development is unparalleled.""",https://stokeventures.com/contact-us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-product-design,https://clutch.co/profile/stoke-ventures
Brash Inc.,Product Design,Product development and design for global brands.,4.9,5 REVIEWS,Yes,"$100,000+",$100 - $149 / hr,10 - 49,"Ottawa, Canada","Product Design,IoT Development,Custom Software Development,UX/UI Design","50,20,15,15","“Their expertise, professionalism, and commitment to customer satisfaction are unparalleled.”",https://brashinc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-product-design,https://clutch.co/profile/brash
intent,Product Design,Software engineering for connected devices and IoT,4.9,28 REVIEWS,Yes,"$250,000+",$100 - $149 / hr,50 - 249,"Warszawa, Poland","Product Design,Mobile App Development,IoT Development,Custom Software Development,Wearable App Development","30,30,20,10,10","“Each team member is highly skilled, and I’ve never worked with a more efficient project manager.”",https://withintent.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-product-design,https://clutch.co/profile/intent
Highland,Product Design,We create digital products for expert firms,4.9,44 REVIEWS,Yes,"$50,000+",$150 - $199 / hr,10 - 49,"Chicago, IL","Product Design,Custom Software Development,Digital Strategy,Market Research,UX/UI Design,Web Development","10,45,15,10,10,10","“Highland’s team was extremely creative, constantly engaged with us, and open to feedback.”",https://highlandsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,https://clutch.co/profile/highland
Aras Digital Products,Product Design,Creators of end-to-end digital products.,5.0,20 REVIEWS,Yes,"$5,000+",$50 - $99 / hr,10 - 49,"Zagreb, Croatia","Product Design,Custom Software Development,Mobile App Development,UX/UI Design,Web Development","20,20,20,20,20","“The team was always willing and eager to do their best, no matter what.”",https://arasdigital.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-product-design,https://clutch.co/profile/aras-digital-products
Pushstart Creative,Product Design,Product Design & Development Agency Austin Texas,5.0,2 REVIEWS,Yes,"$10,000+",Undisclosed,10 - 49,"Austin, TX","Product Design,UX/UI Design,Branding,Custom Software Development,Packaging Design","35,35,10,10,10","""Their range of skillsets and speed of execution was impressive.""",https://pushstartcreative.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-product-design,https://clutch.co/profile/pushstart-creative
Stacknet,Product Design,Transforming startup visions into reality,5.0,5 REVIEWS,Yes,"$1,000+",$50 - $99 / hr,2 - 9,"New York, NY","Product Design,UX/UI Design,Web Design,Custom Software Development,Web Development","25,25,20,15,15","""I was impressed from top to bottom and can't think of a single thing they could improve on.""",https://stacknet.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/stacknet
"Porticos, Inc.",Product Design,A World of Optimized Products,4.8,5 REVIEWS,Yes,"$5,000+",Undisclosed,10 - 49,"Morrisville, NC","Product Design,IoT Development,Contract Manufacturing","85,10,5","""Their responsiveness and ability to adapt quickly were impressive.""",https://porticos.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-product-design,https://clutch.co/profile/porticos
Isadora Agency,Product Design,Leader in Enterprise Digital Transformations,4.8,17 REVIEWS,Yes,"$75,000+",$150 - $199 / hr,10 - 49,"Manhattan Beach, CA","Product Design,Web Design,Web Development,E-Commerce Development,UX/UI Design","15,30,25,20,10","""They listened to our needs, addressed any questions quickly yet thoroughly, and made great recommendations.""",https://isadoradigitalagency.com/?utm_source=clutch.co%2FPD&utm_medium=Prod-des-dev-companies&utm_id=Prod-design,https://clutch.co/profile/isadora-agency
